Title,Bedrooms,Bathrooms,Prices
3 Bed Apartment with En Suite at Kilimani,3,4,"KSh 140,000"
3 Bed Apartment with En Suite in Kilimani,3,4,"KSh 120,000"
Furnished 2 Bed Apartment at Kitale Lane,2,2,"KSh 180,000"
3 Bed Apartment with En Suite in Kilimani,3,3,"KSh 160,000"
Furnished 2 Bed Apartment with En Suite in Kilimani,2,2,"KSh 190,000"
2 Bed Apartment with En Suite at Kilimani,2,2,"KSh 100,000"
2 Bed Apartment with En Suite at Kilimani,2,2,"KSh 100,000"
Serviced 2 Bed Apartment with En Suite in Kilimani,2,3,"KSh 190,000"
Furnished 2 Bed Apartment with En Suite at Kilimani,2,2,"KSh 200,000"
Furnished 2 Bed Apartment with Backup Generator in Kilimani,2,3,"KSh 120,000"
2 Bed Apartment with En Suite at Kilimani,2,2,"KSh 65,000"
3 Bed Apartment with En Suite at Kilimani,3,3,"KSh 90,000"
3 Bed Apartment with En Suite at Kilimani,3,2,"KSh 75,000"
Serviced 2 Bed Apartment with En Suite at Kilimani,2,2,Price not communicated
Serviced 3 Bed Apartment with En Suite at Kilimani,3,4,"KSh 300,000"
2 Bed Apartment with En Suite in Kilimani,2,2,"KSh 100,000"
Furnished 2 Bed Apartment with En Suite at Kilimani,2,2,"KSh 150,000"
2 Bed Apartment with En Suite in Kilimani,2,3,"KSh 80,000"
Furnished 2 Bed Apartment with En Suite at Nyangumi Road,2,2,"KSh 190,000"
1 Bed Apartment with En Suite at Oledume,1,1,"KSh 60,000"
3 Bed Apartment with En Suite in Kilimani,3,2,"KSh 65,000"
2 Bed Apartment at Kitale Lane,2,3,"KSh 170,000"
3 Bed Apartment with En Suite at Kilimani,3,3,"KSh 80,000"
4 Bed Apartment with En Suite at Kilimani,4,4,"KSh 90,000"
2 Bed Apartment with En Suite at Near Junctiona Mall,2,3,"KSh 80,000"
2 Bed Apartment with En Suite in Kilimani,2,3,"KSh 80,000"
Serviced 3 Bed Apartment with En Suite in Kilimani,3,4,"KSh 200,000"
2 Bed Apartment with En Suite in Kilimani,2,3,"KSh 75,000"
2 Bed Apartment with En Suite in Kilimani,2,2,"KSh 75,000"
3 Bed Apartment with En Suite at Dennis Pritt Road,3,3,"KSh 75,000"
Furnished 3 Bed Apartment with En Suite at Nyangumi Road,3,3,"KSh 200,000"
Furnished 2 Bed Apartment with En Suite in Kilimani,2,2,"KSh 170,000"
2 Bed Apartment with En Suite in Kilimani,2,3,"KSh 80,000"
Serviced 1 Bed Apartment with En Suite in Kilimani,1,2,"KSh 160,000"
Furnished 1 Bed Apartment with En Suite in Kilimani,1,1,"KSh 170,000"
2 Bed Apartment with En Suite in Kilimani,2,2,"KSh 170,000"
Serviced 1 Bed Apartment with Gym in Kilimani,1,1,"KSh 115,000"
