Title,Bedrooms,Bathrooms,Prices
3 Bed Apartment with En Suite at Kileleshwa,3,2,"KSh 95,000"
1 Bed Apartment with En Suite in Kileleshwa,1,1,"KSh 130,000"
3 Bed Apartment with Lift in Kileleshwa,3,2,"KSh 110,000"
4 Bed Apartment with En Suite at Kileleshwa,4,4,"KSh 120,000"
4 Bed Apartment with En Suite at Kileleshwa,4,4,"KSh 140,000"
2 Bed Apartment with Parking in Kileleshwa,2,2,"KSh 55,000"
2 Bed Apartment with En Suite in Kileleshwa,2,2,"KSh 85,000"
2 Bed Apartment with En Suite in Kileleshwa,2,3,"KSh 100,000"
Furnished 2 Bed Apartment with En Suite in Kileleshwa,2,3,"KSh 200,000"
Furnished 2 Bed Apartment with En Suite in Kileleshwa,2,2,"KSh 220,000"
Furnished 3 Bed Apartment with En Suite at,3,3,"KSh 200,000"
3 Bed Apartment with En Suite at Hamisi Road,3,3,"KSh 130,000"
3 Bed Apartment with En Suite at Kileleshwa,3,3,"KSh 150,000"
5 Bed Apartment with En Suite at Kileleshwa,5,5,"KSh 150,000"
Serviced 3 Bed Apartment with En Suite at Laikipia Road,3,4,"KSh 7,000"
Serviced 2 Bed Apartment with Swimming Pool in Kileleshwa,2,2,"KSh 180,000"
1 Bed Apartment with Backup Generator in Kileleshwa,1,1,"KSh 65,000"
3 Bed Apartment with En Suite in Kileleshwa,3,4,"KSh 130,000"
Serviced 2 Bed Apartment with En Suite at Kileleshwa,2,2,"KSh 180,000"
Serviced 2 Bed Apartment with En Suite at Kileleshwa,2,0,"KSh 150,000"
2 Bed Apartment with En Suite in Kileleshwa,2,1,"KSh 110,000"
Serviced 3 Bed Apartment with En Suite at Kileleshwa,3,4,Price not communicated
3 Bed Apartment with En Suite in Kileleshwa,3,4,"KSh 160,000"
3 Bed Apartment with En Suite at Siaya Road,3,2,"KSh 120,000"
3 Bed Apartment with En Suite at Kileleshwa,3,3,"KSh 90,000"
2 Bed Apartment with En Suite at Mogoiri Road,2,3,"KSh 80,000"
Serviced 2 Bed Apartment with En Suite at Kangundo Road,2,3,"KSh 8,000"
Serviced Studio Apartment with En Suite at Othaya Road,Title not found for this link,1,"KSh 3,500"
Furnished 2 Bed Apartment with En Suite in Kileleshwa,2,2,"KSh 120,000"
4 Bed Apartment with En Suite at,4,4,"KSh 250,000"
4 Bed Apartment with En Suite in Kileleshwa,4,4,"KSh 200,000"
Serviced 3 Bed Apartment with En Suite at Kileleshwa,3,2,"KSh 150,000"
3 Bed Apartment with En Suite in Kileleshwa,3,4,"KSh 150,000"
2 Bed Apartment with Parking at Githunguri,2,1,"KSh 55,000"
Furnished 1 Bed Apartment with En Suite in Kileleshwa,1,1,"KSh 90,000"
2 Bed Apartment with En Suite at Kileleshwa,2,2,"KSh 75,000"
3 Bed Apartment with En Suite at Kileleshwa,3,3,"KSh 150,000"
Serviced 1 Bed Apartment with En Suite at Kileleshwa,1,1,"KSh 150,000"
